,Modelo,Acuracia (%),F1 Score (%),Precision Score (%),Recall (%),Tempo de Execuçao (s)
0,Regressão Logistica,0.9185188218552606,0.9159552777955577,0.9002328757604604,0.9431037933929086,66.99947381019592
1,Regressão Linear,0.8374522671198518,0.8561280335384458,0.8431521904033801,0.9071078225743601,66.99947381019592
2,Linear SVC,0.9079638407436603,0.9077946419711672,0.8910722022126405,0.9392927302627331,787.5112266540527
3,Bernoulli Naive Bayes,0.8449769141780731,0.8506345963572086,0.8344136393995369,0.9034591055491672,2.5132110118865967
4,Decision Tree Classifier,0.8771588570726564,0.8876479030506584,0.8726260848137022,0.9331797364586703,602.7960178852081
